HIP,Fe,Li,Be,C,N,O,Na,Mg,Al,Si,P,S,K,Ca,CaII,Sc,ScII,Ti,TiII,V,VII,Cr,CrII,Mn,Co,Ni,Cu,Zn,Sr,SrII,Y,YII,Zr,ZrII,Mo,Ru,BaII,La,LaII,Ce,CeII,Pr,Nd,Sm,Eu,EuII,Gd,Dy,Hf,Pb
56572,0.26,-99.99,-99.99,0.11,-99.99,-0.24,0.1,0.04,0.08,0.05,-99.99,-99.99,-99.99,-0.01,-99.99,0.1,0.1,0.09,0.04,0.17,-99.99,0.02,-0.33,0.04,0.18,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
57172,0.14,-99.99,-99.99,0.18,-99.99,-0.13,0.06,0.07,0.14,0.03,-99.99,-99.99,-99.99,-0.02,-99.99,0.23,-0.03,0.17,0,0.39,-99.99,0.04,-0.36,-0.05,0.17,0.04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
57291,0.29,-99.99,-99.99,0.07,-99.99,-0.29,0.05,0.04,0.07,0.05,-99.99,-99.99,-99.99,0,-99.99,0.1,0.11,0.09,0.05,0.11,-99.99,0.01,-0.31,-0.05,0.13,0.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
60081,0.32,-99.99,-99.99,0.03,-99.99,-0.3,0.09,0.02,0.03,0,-99.99,-99.99,-99.99,0.01,-99.99,0.21,0.08,0.08,0.04,0.09,-99.99,0.02,-0.35,0,0.11,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
60644,0.19,-99.99,-99.99,0,-99.99,-0.17,-0.07,-0.07,-0.1,0,-99.99,-99.99,-99.99,0.06,-99.99,0.05,0.02,0.04,0.04,-0.06,-99.99,-0.01,-0.28,-0.19,-0.06,-0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
62534,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
64459,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
64457,0.04,-99.99,-99.99,0.27,-99.99,-0.25,0.1,0.09,0.13,0.05,-99.99,-99.99,-99.99,0.05,-99.99,0.24,0.09,0.2,0.02,0.4,-99.99,0.05,-0.34,-0.09,0.18,0.06,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
65808,0.23,-99.99,-99.99,0.07,-99.99,-0.23,0.05,0.02,0.03,0.01,-99.99,-99.99,-99.99,-0.01,-99.99,0.03,0.02,0.05,0.02,0.07,-99.99,0.02,-0.41,0,0.06,0.04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
66047,0.04,-99.99,-99.99,0.09,-99.99,-0.24,0.06,0.02,-0.01,0.03,-99.99,-99.99,-99.99,0.05,-99.99,0.07,0.06,0.05,0.07,-0.03,-99.99,0.01,-0.31,-0.17,0.01,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
68162,0.15,-99.99,-99.99,-0.02,-99.99,-0.26,-0.04,-0.03,-0.05,-0.02,-99.99,-99.99,-99.99,0.04,-99.99,0.05,0.01,0.05,0.03,-0.02,-99.99,0.01,-0.34,-0.15,-0.03,0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
72339,-0.01,-99.99,-99.99,0.09,-99.99,-0.2,0.01,0.02,0.06,0.03,-99.99,-99.99,-99.99,0.08,-99.99,0.06,-0.01,0.1,0.01,0.13,-99.99,0.03,-0.32,-0.07,0.06,0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
74500,0.26,-99.99,-99.99,0.15,-99.99,-0.21,0.14,0.05,0.07,0.07,-99.99,-99.99,-99.99,-0.01,-99.99,0.13,0.12,0.07,0.04,0.08,-99.99,0.02,-0.33,-0.03,0.12,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
77740,0.14,-99.99,-99.99,0.05,-99.99,-0.27,-0.03,-0.02,-0.03,0,-99.99,-99.99,-99.99,0.04,-99.99,0.03,0.02,0.04,0.01,-0.01,-99.99,0.01,-0.35,-0.14,0.02,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
79242,0.2,-99.99,-99.99,0.06,-99.99,-0.34,-99.99,0.04,-99.99,0,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
80337,0.04,-99.99,-99.99,-0.09,-99.99,0.08,-0.04,-0.01,0.02,-99.99,-99.99,-99.99,-99.99,0.17,-99.99,0.1,0.2,0.24,0.24,0.26,-99.99,0.14,-0.31,-0.24,0.13,0.08,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
86375,-0.07,-99.99,-99.99,0.07,-99.99,-0.14,0.05,0.09,0.07,0.05,-99.99,-99.99,-99.99,0.08,-99.99,0.02,0.11,0.09,0.1,0.04,-99.99,0.01,-0.33,-0.11,0.03,0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
86796,0.31,-99.99,-99.99,0.08,-99.99,-0.22,0.1,0.03,0.04,0.03,-99.99,-99.99,-99.99,-0.02,-99.99,0.09,0.1,0.06,0.07,0.06,-99.99,0.01,-0.33,-0.04,0.1,0.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
90004,-0.09,-99.99,-99.99,0.21,-99.99,-0.03,0.08,0.19,0.25,0.11,-99.99,-99.99,-99.99,0.15,-99.99,0.15,0.17,0.24,0.22,0.18,-99.99,0.02,-0.3,-0.18,0.13,0.04,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
90485,0.19,-99.99,-99.99,0.06,-99.99,-0.13,0.05,-0.01,-0.08,0.02,-99.99,-99.99,-99.99,0.04,-99.99,0.13,0.05,0.06,0.08,-0.03,-99.99,0,-0.28,-0.19,-0.02,0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
94645,0.22,-99.99,-99.99,0.05,-99.99,-0.3,-0.01,-0.09,-0.09,0,-99.99,-99.99,-99.99,0.04,-99.99,0.21,0.02,0.04,0.05,-0.01,-99.99,0,-0.25,-0.13,-0.05,0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
99115,0.24,-99.99,-99.99,0.14,-99.99,0.06,-0.04,0.06,0.12,0.04,-99.99,-99.99,-99.99,0.02,-99.99,0.11,0.18,0.14,0.12,0.15,-99.99,0.02,-0.35,-0.04,0.14,0.06,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
101806,0.24,-99.99,-99.99,0.11,-99.99,-0.01,0.13,0.04,0.07,0.05,-99.99,-99.99,-99.99,0.03,-99.99,0.13,0.15,0.09,0.11,0.07,-99.99,0.02,-0.36,-0.05,0.11,0.08,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
